game,game_comments,game_date,wrong,right
9020,Mark Fitzpatrick game 2.,"Show #9176 - Monday, October 7, 2024",3,0
9021,Mark Fitzpatrick game 3.,"Show #9177 - Tuesday, October 8, 2024",3,0
9022,Mark Fitzpatrick game 4.,"Show #9178 - Wednesday, October 9, 2024",3,0
9023,Mark Fitzpatrick game 5.,"Show #9179 - Thursday, October 10, 2024",1,2
9024,Mark Fitzpatrick game 6.,"Show #9180 - Friday, October 11, 2024",2,1
9025,"Modified set with single-screen game board and new Final Jeopardy! monitor.
The category is highlighted upon clue selection.
Ken approaches the individual lecterns for the contestant interviews.","Show #9181 - Monday, October 14, 2024",1,2
9026,Rishabh Wuppalapati game 1.,"Show #9182 - Tuesday, October 15, 2024",1,2
9027,Rishabh Wuppalapati game 2.,"Show #9183 - Wednesday, October 16, 2024",1,2
9028,Rishabh Wuppalapati game 3.,"Show #9184 - Thursday, October 17, 2024",2,0
9029,Rishabh Wuppalapati game 4.,"Show #9185 - Friday, October 18, 2024",0,3
9030,,"Show #9186 - Monday, October 21, 2024",2,1
9031,Will Wallace game 1.,"Show #9187 - Tuesday, October 22, 2024",2,1
9032,Will Wallace game 2.,"Show #9188 - Wednesday, October 23, 2024",2,0
9033,Will Wallace game 3.,"Show #9189 - Thursday, October 24, 2024",2,1
9034,Will Wallace game 4.,"Show #9190 - Friday, October 25, 2024",1,2
9035,Will Wallace game 5.,"Show #9191 - Monday, October 28, 2024",1,2
9036,,"Show #9192 - Tuesday, October 29, 2024",1,2
9037,,"Show #9193 - Wednesday, October 30, 2024",1,2
9038,Greg Jolin game 1.,"Show #9194 - Thursday, October 31, 2024",1,2
9039,Greg Jolin game 2.,"Show #9195 - Friday, November 1, 2024",2,1
9040,Greg Jolin game 3.,"Show #9196 - Monday, November 4, 2024",1,2
9041,Greg Jolin game 4.,"Show #9197 - Tuesday, November 5, 2024",0,3
9042,Greg Jolin game 5.,"Show #9198 - Wednesday, November 6, 2024",0,3
9043,Greg Jolin game 6.,"Show #9199 - Thursday, November 7, 2024",2,1
9044,,"Show #9200 - Friday, November 8, 2024",2,1
9045,,"Show #9201 - Monday, November 11, 2024",3,0
9046,,"Show #9202 - Tuesday, November 12, 2024",0,3
9047,,"Show #9203 - Wednesday, November 13, 2024",2,1
9048,,"Show #9204 - Thursday, November 14, 2024",2,1
9049,,"Show #9205 - Friday, November 15, 2024",3,0
9050,,"Show #9206 - Monday, November 18, 2024",2,1
9051,,"Show #9207 - Tuesday, November 19, 2024",2,1
9052,Mehal Shah game 1.,"Show #9208 - Wednesday, November 20, 2024",3,0
9053,Mehal Shah game 2.,"Show #9209 - Thursday, November 21, 2024",2,1
9054,Mehal Shah game 3.,"Show #9210 - Friday, November 22, 2024",1,2
9055,Kevin Laskowski game 1.,"Show #9211 - Monday, November 25, 2024",2,1
9056,Kevin Laskowski game 2.,"Show #9212 - Tuesday, November 26, 2024",2,1
9057,Kevin Laskowski game 3.,"Show #9213 - Wednesday, November 27, 2024",1,2
9058,Kevin Laskowski game 4.,"Show #9214 - Thursday, November 28, 2024",0,3
9059,,"Show #9215 - Friday, November 29, 2024",3,0
9060,,"Show #9216 - Monday, December 2, 2024",3,0
9061,,"Show #9217 - Tuesday, December 3, 2024",3,0
9062,,"Show #9218 - Wednesday, December 4, 2024",1,2
9063,,"Show #9219 - Thursday, December 5, 2024",3,0
9064,,"Show #9220 - Friday, December 6, 2024",1,2
9065,,"Show #9221 - Monday, December 9, 2024",3,0
9066,,"Show #9222 - Tuesday, December 10, 2024",3,0
9067,,"Show #9223 - Wednesday, December 11, 2024",0,3
9068,Ashley Chan game 1.,"Show #9224 - Thursday, December 12, 2024",3,0
9069,Ashley Chan game 2.,"Show #9225 - Friday, December 13, 2024",2,1
9070,Ashley Chan game 3.,"Show #9226 - Monday, December 16, 2024",3,0
9071,Ashley Chan game 4.,"Show #9227 - Tuesday, December 17, 2024",0,3
9072,Ashley Chan game 5.,"Show #9228 - Wednesday, December 18, 2024",0,3
9073,Laura Faddah game 1.,"Show #9229 - Thursday, December 19, 2024",3,0
9074,Laura Faddah game 2.,"Show #9230 - Friday, December 20, 2024",3,0
9075,Laura Faddah game 3.,"Show #9231 - Monday, December 23, 2024",2,0
9076,Laura Faddah game 4.,"Show #9232 - Tuesday, December 24, 2024",2,1
9077,Laura Faddah game 5.,"Show #9233 - Wednesday, December 25, 2024",2,1
9078,Laura Faddah game 6.,"Show #9234 - Thursday, December 26, 2024",0,3
9079,Laura Faddah game 7.,"Show #9235 - Friday, December 27, 2024",2,1
9080,"2024-2025 Second Chance competition week 1, semifinal game 1.
A large Jeopardy! logo is added to the set, hanging above upstage center.
With Happy Holidays message from the Jeopardy! crew.","Show #9236 - Monday, December 30, 2024",0,3
9081,John Kelly game 1.,"Show #1820 - Friday, June 26, 1992",2,1
9082,"2024-2025 Second Chance competition week 1, semifinal game 2.
With Happy New Year message from the Jeopardy! control room.","Show #9237 - Tuesday, December 31, 2024",3,0
9083,"2024-2025 Second Chance competition week 1, semifinal game 3.
With Happy New Year message from the Jeopardy! library.","Show #9238 - Wednesday, January 1, 2025",1,2
9084,"2024-2025 Second Chance competition week 1, final game 1.","Show #9239 - Thursday, January 2, 2025",2,1
